Inventory Size Key,Item Description,Size Description,Size Description 2,Size Description 3,Unit Cost
22088,Phoenix Products,COOLEY BULLDOG CLAMP,TSI-61010-910911,Straight; 3 cm Jaw; 3 3/8 in (80 mm),498.00
22560,Phoenix Products,"COOLEY VASCULAR SUCTION TUBE, 6mm Wide Tip, 11 1/2""",TSI-109-115614,,205.72
19221,Phoenix Products,"COTTLE SEPTUM ELEVATOR DOULE-ENDED WITH GRADUATIONS 8 1/2""",TSI-1112-61178,,50.85
19225,Phoenix Products,"COTTLE SKIN ELEVATOR, SHARP, 7 1/2""",TSI-1112-610105,,88.25
19239,Phoenix Products,CRILE FORCEP,TSI-89-9586,Curved; 5 1/2 in (140mm),15.85
19241,Phoenix Products,CRILE FORCEP,TSI-87-9586,Curved;  5 1/2 in (140MM),6.05
19243,Phoenix Products,CRILE FORCEP,TSI-88-9586,Curved; 5 1/2 in (140mm),15.85
19244,Phoenix Products,CRILE FORCEP,TSI-89-9585,Straight; 5 1/4 in (140mm),9.90
19245,Phoenix Products,CRILE FORCEP,TSI-87-9585,"Straight; 5 1/2"" (140MM)",6.05
19246,Phoenix Products,CRILE FORCEP,TSI-87-9595,Straight; 6 1/4 in (159mm),11.50
19242,Phoenix Products,"CRILE FORCEPS CURVED 6 1/4"" (159MM)",TSI-87-9596,,9.05
19250,Phoenix Products,CRILE RETRACTOR DOUBLE-ENDED,TSI-105-96510,,17.06
18950,Phoenix Products,CRILE WOOD NEEDLE HOLDER,TSI-811-7557,"TC, Serrated Jaws; 8 in (203 mm)",47.48
18947,Phoenix Products,CRILE WOOD NEEDLE HOLDER,TSI-811-75510,"TC, Serrated Jaws; 12 in (300 mm)",109.31
19254,Phoenix Products,"CRILE WOOD NEEDLE HOLDER 6""",TSI-87-985,,38.40
19258,Phoenix Products,"CRILE WOOD NEEDLE HOLDER, TC, SMOOTH JAWS",TSI-87-9810,6 in (152 mm),69.50
21983,Phoenix Products,CRILE-WOOD NEEDLE HOLDER,TSI-811-7555,"TC, Serrated, 6 in (152 mm)",51.43
22001,Phoenix Products,"CRILEWOOD NEEDLE HOLDER, SERRATED",TSI-665-75610,6 in (152 mm),20.40
